Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
13.4649,0.8075,66.2500,127.5804,154.6518,0.9256,4.1405,0.4953,8.3666,4.1442,6.3986,0809B935-D2B7-4ABE-82A1-B4360CCF2FF1,0.5193,2.3344,1.2122,5.7137,2019-10-22T09:41:38.655,3.716776e+01,4.1730
20.0794,0.9232,50.1931,116.2414,144.6345,0.9832,5.0563,1.0000,6.3706,6.3706,6.3986,7E2DDEFD-4805-41D4-9F41-7228D8A7D54F,0.4318,2.8816,1.2443,7.2922,2019-10-22T09:41:38.764,6.768478e+01,4.7294
122.6906,0.7394,63.3345,117.2347,135.7338,0.9352,12.4986,0.7635,15.8431,12.0955,16.9702,DE33D381-A9A9-4503-9C3B-E71078E9A433,0.5402,2.1431,1.1578,9.3050,2019-10-22T09:41:38.858,1.022306e+03,11.4062
20.4942,0.4819,56.8095,106.6667,131.7619,0.6089,5.1082,0.2133,14.6050,3.1160,9.7370,2669C7C7-6B65-4EDD-ADA9-1CB613D6C892,0.5326,2.3194,1.2353,18.0483,2019-10-22T09:41:38.954,6.979295e+01,4.1730
6.4260,0.3813,58.6849,87.0137,105.6301,0.3166,2.8604,0.1285,13.2629,1.7040,9.1806,F46A0FE4-E538-4088-A5A5-F90DC86AFDB4,0.6744,1.8000,1.2139,14.8116,2019-10-22T09:41:38.954,1.225382e+01,2.5038
95.1281,0.4890,53.2441,94.9784,110.7538,0.7433,11.0055,0.4279,18.3032,7.8312,18.6394,E894EC4E-5A32-4786-9CB6-7BB11E84EAF6,0.5606,2.0801,1.1661,18.0231,2019-10-22T09:41:38.954,6.979549e+02,8.0678
18.2308,0.7814,61.5515,117.5000,145.5368,0.9471,4.8179,1.0000,6.4859,6.4859,6.3986,69FEAA1A-E504-4491-8B91-D4E0DE039377,0.5238,2.3645,1.2386,6.8941,2019-10-22T09:41:38.954,5.855589e+01,4.1730
14.4358,0.3885,40.8291,79.3932,89.6667,0.5930,4.2872,0.2856,11.2617,3.2163,9.1806,01DCDA6B-DAEF-4677-80CD-3AA301D7532C,0.5143,2.1961,1.1294,11.2690,2019-10-22T09:41:39.054,4.125973e+01,3.0602
41.1999,0.9160,64.7344,102.7759,112.9378,0.9909,7.2427,1.0000,7.8769,7.8769,8.0678,111B373B-FDAE-4E06-A50B-5B60C120DEA0,0.6299,1.7446,1.0989,14.9962,2019-10-22T09:41:39.054,1.989336e+02,6.9550
13.8517,0.2953,70.1754,129.6053,156.8684,0.2600,4.1996,0.0844,20.4460,1.7261,13.0754,C608A1DD-7A3A-4EA5-962C-7E7BDD908BA3,0.5415,2.2354,1.2104,5.0943,2019-10-22T09:41:39.054,3.878108e+01,3.6166
53.6020,0.7288,44.8095,76.2925,94.4422,0.8681,8.2612,0.2972,17.4994,5.2011,11.9626,3562441D-2E32-4DA8-A2DA-9775882E930F,0.5873,2.1076,1.2379,28.6483,2019-10-22T09:41:39.154,2.952128e+02,8.0678
30.5900,0.7221,45.6237,100.7165,126.7680,0.9447,6.2409,1.0000,7.2052,7.2052,8.0678,175E3D93-6055-4390-B029-B62FD6262579,0.4530,2.7786,1.2587,14.2880,2019-10-22T09:41:39.356,1.272719e+02,5.2858
85.5911,0.6558,41.2518,88.0612,108.4635,0.8638,10.4393,0.6089,14.6998,8.9506,14.1882,9FD7C737-F3D9-4190-895F-35B58A4236ED,0.4684,2.6293,1.2317,22.2985,2019-10-22T09:41:39.455,5.956712e+02,9.7370
66.3516,0.6553,33.1354,88.3112,112.7118,0.8106,9.1914,0.3933,16.5262,6.5002,14.1882,1B183808-DD14-44DD-8941-031DF3273B55,0.3752,3.4015,1.2763,12.2358,2019-10-22T09:41:39.556,4.065751e+02,8.6242
50.2882,0.3804,36.7643,95.2429,121.9500,0.4680,8.0018,0.1618,23.1487,3.7446,15.8574,B7AEA594-5496-4063-8DBD-1C9B335D2BD7,0.3860,3.3171,1.2804,12.9915,2019-10-22T09:41:39.556,2.682644e+02,6.3986
29.0491,0.5566,35.6684,82.9519,112.4973,0.4258,6.0816,0.1003,24.0225,2.4099,12.5190,546C65FB-8196-43CC-830E-315750787C24,0.4300,3.1540,1.3562,15.8271,2019-10-22T09:41:39.655,1.177776e+02,8.0678
13.0801,0.1099,78.7727,144.7364,157.7636,0.1651,4.0809,0.0671,22.5325,1.5113,18.0830,7CB40051-18AE-4742-AEE1-BEE11E5FC855,0.5442,2.0028,1.0900,2.8306,2019-10-22T09:41:39.655,3.558596e+01,1.9474
54.0774,0.7806,52.6858,110.8209,144.9358,0.5373,8.2978,0.0756,34.8041,2.6329,15.3010,27953E90-2D80-4913-A9A0-F8915DF2CCCE,0.4754,2.7509,1.3078,17.9284,2019-10-22T09:41:39.856,2.991488e+02,10.8498
