Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
42.8143,0.6271,58.9032,118.0202,142.2137,0.6633,7.3833,0.2756,16.6895,4.6003,11.4062,84540D3F-C660-4F25-B5A6-3E8D919197A6,0.4991,2.4144,1.2050,9.5636,2019-10-22T15:21:10.177,2.107398e+02,8.0678
20.0794,0.2922,62.9724,132.7103,157.8552,0.5108,5.0563,0.2338,13.8577,3.2393,11.9626,A2927CF9-2C44-4C90-A8A3-128584231525,0.4745,2.5067,1.1895,3.9141,2019-10-22T15:21:10.177,6.768478e+01,2.5038
431.6397,0.6848,36.2635,80.2090,97.6270,0.7675,23.4431,0.1431,60.9415,8.7223,35.8878,CA1B3083-45EB-4180-B8D4-55C26B466C5E,0.4521,2.6922,1.2172,27.0831,2019-10-22T15:21:10.177,6.745992e+03,24.7598
80.6116,0.4168,53.6099,94.2074,106.6691,0.5251,10.1310,0.1145,33.0917,3.7889,21.9778,DD506979-BDCF-4D7F-A5C6-38E8C7F43FEF,0.5691,1.9897,1.1323,21.5367,2019-10-22T15:21:10.276,5.444531e+02,9.1806
158.4050,0.5120,56.8362,99.8799,115.6935,0.5451,14.2017,0.0793,52.5616,4.1700,25.8726,1FF70B46-4C87-4006-821D-CB8EF1E5D77B,0.5690,2.0356,1.1583,21.6785,2019-10-22T15:21:10.477,1.499744e+03,14.1882
3.7150,0.4526,62.7708,127.6042,152.1667,0.2450,2.1749,0.1385,10.3566,1.4348,6.3986,26FF3B55-F0DC-4019-8894-884ACD62D9AA,0.4919,2.4242,1.1925,3.9233,2019-10-22T15:21:10.675,5.386381e+00,3.6166
21.7469,0.6171,74.4248,141.3856,165.0915,0.8116,5.2620,0.3963,10.9321,4.3327,9.1806,D8FD8F0B-5426-40D9-8128-05FD3CFF9816,0.5264,2.2182,1.1677,3.4366,2019-10-22T15:21:10.675,7.628843e+01,4.7294
118.8271,0.7445,49.1888,105.1691,124.5989,0.9108,12.3002,0.7069,15.6038,11.0311,16.4138,04395F62-3AD1-4DF1-B5BB-938B8C905DF9,0.4677,2.5331,1.1847,23.7754,2019-10-22T15:21:10.675,9.743993e+02,10.8498
16.8145,0.5784,45.2326,102.9767,123.4806,0.7981,4.6270,0.4446,9.4772,4.2139,7.5114,C09164B0-7579-43CD-9EEF-7F4FBC13B85F,0.4393,2.7299,1.1991,7.1376,2019-10-22T15:21:10.775,5.186704e+01,3.6166
43.5085,0.7955,63.4064,129.2112,152.8526,0.9607,7.4429,1.0000,8.6300,8.6300,9.1806,C751D8FD-BEF3-4E08-B539-3289A51DBBF1,0.4907,2.4107,1.1830,7.6470,2019-10-22T15:21:10.775,2.158864e+02,6.3986
