Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
242.1063,0.3479,53.9373,117.5436,142.8805,0.4165,17.5573,0.1082,54.0602,5.8469,35.3314,6A92DC7D-9C6C-44E1-8EF2-9F69C5006632,0.4589,2.6490,1.2156,15.7516,2019-10-22T13:09:50.347,2.833824e+03,14.1882
107.0469,0.6832,17.9431,61.7059,81.8118,0.8811,11.6746,0.3413,21.5082,7.3408,18.0830,4158BB74-8472-4014-8F17-039C8563457E,0.2908,4.5595,1.3258,19.2954,2019-10-22T13:09:50.446,8.331531e+02,11.4062
20.7022,0.7505,64.1892,103.2770,112.4932,0.9492,5.1341,1.0000,6.2892,6.2892,6.9550,9FB4AEE8-BE42-4286-B95C-82F4DF0956F3,0.6215,1.7525,1.0892,20.2026,2019-10-22T13:09:50.446,7.085776e+01,4.7294
28.6110,0.9138,25.8541,75.3243,97.4811,0.9897,6.0356,1.0000,6.8456,6.8456,6.9550,5E5EA5FB-96C3-4085-8AD8-579C0EF188F5,0.3432,3.7704,1.2942,13.4536,2019-10-22T13:09:50.561,1.151232e+02,5.8422
7.2633,0.1855,39.8205,94.2436,110.5000,0.2812,3.0410,0.1486,12.7465,1.8944,9.7370,F010F0D0-8AE4-4C8F-9D22-2170379EED07,0.4225,2.7750,1.1725,6.7037,2019-10-22T13:09:50.561,1.472542e+01,1.3910
91.8548,0.8110,32.2533,87.6622,109.4956,0.9691,10.8145,1.0000,11.3980,11.3980,13.6318,368A88B1-9DA3-4FAE-8DD4-79E5126657D1,0.3679,3.3949,1.2491,21.4288,2019-10-22T13:09:50.659,6.622419e+02,10.2934
23.8603,0.9009,59.7178,123.4110,147.8221,0.9753,5.5118,1.0000,7.0423,7.0423,6.9550,17EA417A-EE79-42BB-860B-7F13BDE55BB4,0.4839,2.4753,1.1978,7.5869,2019-10-22T13:09:50.746,8.767560e+01,5.2858
25.5726,0.8637,70.7310,122.9298,145.6842,0.9772,5.7061,1.0000,6.9131,6.9131,7.5114,997E67CA-A136-43AC-A286-52E171D2FE62,0.5754,2.0597,1.1851,5.3986,2019-10-22T13:09:50.846,9.728077e+01,5.2858
83.5958,0.7012,35.9305,86.2182,103.5635,0.6278,10.3169,0.1221,32.5171,3.9701,19.1958,FDD7CBB1-3970-48D7-A8AF-2B98F8B59CEB,0.4167,2.8823,1.2012,15.7357,2019-10-22T13:09:50.846,5.749639e+02,13.6318
34.1531,0.0422,54.4333,122.0762,159.5952,0.0674,6.5943,0.0257,50.3083,1.2923,45.3466,BE0925D4-9DEA-4911-8B6B-CECF3E166C6F,0.4459,2.9319,1.3073,15.3277,2019-10-22T13:09:50.946,1.501445e+02,1.9474
27.7377,0.8589,45.8950,107.5470,133.9945,0.7550,5.9428,0.2042,16.5635,3.3830,9.1806,6D8F4130-CEC1-4B00-9961-B753D3BEE437,0.4267,2.9196,1.2459,8.0847,2019-10-22T13:09:50.946,1.098930e+02,6.9550
23.8603,0.5475,36.8344,90.5706,122.1902,0.5146,5.5118,0.1293,19.7524,2.5547,10.8498,E6024BBB-A8E9-4A46-AD4A-B7CEF4AFDCA7,0.4067,3.3173,1.3491,15.1538,2019-10-22T13:09:51.048,8.767560e+01,6.3986
114.9741,0.9737,49.6747,109.0296,131.8614,0.8026,12.0992,0.1399,34.6036,4.8400,17.5266,7E488078-6386-4690-804A-C377CB0F071E,0.4556,2.6545,1.2094,15.2915,2019-10-22T13:09:51.048,9.273934e+02,15.3010
55.0296,0.3926,53.8833,102.8700,129.6933,0.4401,8.3705,0.0739,35.4403,2.6206,19.1958,E4E8E80D-CE6E-436F-8F49-06B42B1D1990,0.5238,2.4069,1.2607,21.6135,2019-10-22T13:09:51.248,3.070850e+02,8.0678
25.1429,0.8257,55.8876,129.6923,157.8462,0.9741,5.6580,1.0000,6.7641,6.7641,6.9550,02FD728A-503A-4254-A57F-39A77B68EC43,0.4309,2.8244,1.2171,12.8316,2019-10-22T13:09:51.248,9.483871e+01,4.7294
22.3776,0.8136,48.2244,104.3846,128.2564,0.9714,5.3378,1.0000,6.3369,6.3369,6.9550,8C20C1C0-9F8F-4898-976F-53C9C0B73870,0.4620,2.6596,1.2287,16.7832,2019-10-22T13:09:51.346,7.963145e+01,4.7294
18.2308,0.4081,64.4559,114.4412,133.6103,0.4077,4.8179,0.1397,17.3580,2.4256,11.4062,95E26132-3C65-46EC-9FF1-BA54A97B7AD1,0.5632,2.0729,1.1675,19.4649,2019-10-22T13:09:51.446,5.855589e+01,4.7294
116.2572,0.8012,52.3773,105.4286,121.5678,0.9700,12.1665,1.0000,12.5108,12.5108,14.7446,EA8553B8-3941-4F02-9499-2F1ECFDA013D,0.4968,2.3210,1.1531,20.2289,2019-10-22T13:09:51.746,9.429612e+02,10.8498
49.3461,0.9119,65.4819,127.6522,147.8986,0.9905,7.9265,1.0000,8.9757,8.9757,9.1806,3E3F4F97-0A26-4A88-8D7B-D96E686DB970,0.5130,2.2586,1.1586,9.5109,2019-10-22T13:09:51.746,2.607610e+02,7.5114
