Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
28.1739,0.2858,45.3552,91.7814,111.3005,0.4376,5.9893,0.2107,16.3957,3.4554,15.8574,12F9501A-4E2B-41AF-9F65-9349FC8E67AB,0.4942,2.4540,1.2127,18.5249,2019-10-22T15:03:11.521,1.124950e+02,3.0602
12.5069,0.6159,40.4206,95.6262,120.3364,0.8104,3.9905,0.2850,10.7817,3.0723,7.5114,15BC46C0-4D6F-413A-B1DB-C0EEF483D168,0.4227,2.9771,1.2584,7.1600,2019-10-22T15:03:11.662,3.327277e+01,2.5038
16.0145,0.3862,35.2240,82.1840,102.6720,0.5442,4.5156,0.2765,11.8310,3.2709,8.6242,9446A525-B48E-47C2-86C9-A68E2DAD0D2E,0.4286,2.9148,1.2493,14.6110,2019-10-22T15:03:11.816,4.820942e+01,3.0602
49.8169,0.8181,29.7698,70.6043,91.0540,0.9704,7.9642,1.0000,8.8267,8.8267,9.7370,05FAE378-99D1-40D1-828B-0452DF086010,0.4216,3.0586,1.2896,20.2943,2019-10-22T15:03:11.934,2.645017e+02,6.9550
12.5069,0.6479,54.6449,124.1402,151.8972,0.8699,3.9905,1.0000,5.6990,5.6990,6.3986,5899C5CE-DC3B-48BB-967A-18CE8AB8119B,0.4402,2.7797,1.2236,6.0347,2019-10-22T15:03:11.934,3.327277e+01,3.0602
70.7461,0.6663,47.9233,99.6082,119.8877,0.9063,9.4909,0.5308,14.5905,7.7445,13.0754,67342129-9EA2-404A-A527-382E08009121,0.4811,2.5017,1.2036,9.0769,2019-10-22T15:03:12.018,4.476286e+02,8.0678
21.7469,0.6990,51.6928,112.3399,136.6601,0.9194,5.2620,1.0000,6.8793,6.8793,7.5114,DAFA32A6-BE2E-4A0F-BADC-CC448EC89C9C,0.4601,2.6437,1.2165,10.8462,2019-10-22T15:03:12.117,7.628843e+01,4.1730
29.9282,0.4116,44.3822,90.7382,108.4869,0.3599,6.1730,0.1221,22.0091,2.6866,15.3010,32948E3D-F94E-4EE0-B9DB-39DF70BD915F,0.4891,2.4444,1.1956,18.4028,2019-10-22T15:03:12.117,1.231642e+02,6.9550
48.1714,0.6054,52.8930,89.7638,111.9114,0.4373,7.8316,0.1088,27.7666,3.0215,16.9702,BB3BE773-C065-4C7C-B140-046AC6409052,0.5892,2.1158,1.2467,21.9117,2019-10-22T15:03:12.216,2.515060e+02,9.7370
19.8726,0.7050,57.8958,125.7500,152.4444,0.8758,5.0302,0.6384,8.3562,5.3349,7.5114,8F2F2127-8D2F-4731-A880-C6B98A1D4F83,0.4604,2.6331,1.2123,7.1657,2019-10-22T15:03:12.216,6.664147e+01,4.7294
20.7022,0.7593,45.3514,102.3243,118.3784,0.7743,5.1341,0.2314,14.0714,3.2561,8.0678,BB6631EE-F5A5-4C3C-B005-44D9B56481FD,0.4432,2.6103,1.1569,23.7541,2019-10-22T15:03:12.216,7.085776e+01,5.2858
121.4016,0.3599,50.0353,108.9470,129.3304,0.5830,12.4328,0.2303,27.5830,6.3526,24.2034,81A4FB11-5329-4267-A255-4D82C58134A0,0.4593,2.5848,1.1871,21.4497,2019-10-22T15:03:12.316,1.006238e+03,9.1806
50.9962,0.7055,51.0848,108.1837,130.3286,0.9254,8.0579,0.5715,12.3818,7.0758,11.4062,62F73A2C-C6E4-473C-88FF-CEB45CDD58BB,0.4722,2.5512,1.2047,11.2305,2019-10-22T15:03:12.316,2.739494e+02,6.9550
