Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
429.1227,0.6735,31.1218,85.1742,107.5468,0.8049,23.3747,0.1108,70.5694,7.8175,34.7750,CCC7A2FB-F824-4EA3-9731-B4FE835FD84D,0.3654,3.4557,1.2627,14.2463,2019-10-22T14:41:36.991,6.687072e+03,24.7598
15.0243,0.3179,43.2250,109.3833,139.8583,0.4508,4.3737,0.1992,13.6576,2.7201,9.7370,A0216A96-6804-48B4-B337-A41CA0DB4CCA,0.3952,3.2356,1.2786,9.6074,2019-10-22T14:41:37.194,4.380826e+01,2.5038
18.8436,0.7885,59.3165,124.5108,149.5468,0.9686,4.8982,1.0000,6.0110,6.0110,6.3986,83A1357D-3F6F-4FB6-A357-45FDA9BF48C9,0.4764,2.5212,1.2011,10.9441,2019-10-22T14:41:37.290,6.153333e+01,4.1730
15.4190,0.7060,70.4016,137.6885,159.9590,0.9309,4.4308,1.0000,5.7328,5.7328,6.3986,E6EDEA87-C75C-4EF9-B6D5-02BEC257C512,0.5113,2.2721,1.1617,5.8615,2019-10-22T14:41:37.290,4.554579e+01,3.6166
17.8241,0.9044,53.9851,111.4104,134.3060,0.9869,4.7639,1.0000,5.7328,5.7328,5.8422,B75D1452-F7E0-4FD7-AB28-1C549CCACEB2,0.4846,2.4878,1.2055,13.8590,2019-10-22T14:41:37.290,5.660770e+01,4.7294
7.6047,0.4059,75.8375,130.0250,153.3375,0.4025,3.1117,0.1375,13.4193,1.8456,8.6242,C5715CAE-49DC-4982-956F-76B8CDA9AF2B,0.5833,2.0219,1.1793,7.5796,2019-10-22T14:41:37.391,1.577557e+01,3.0602
44.2042,0.3487,42.2638,100.1850,125.5630,0.5832,7.5022,0.3082,15.9736,4.9227,14.1882,4EC14DBB-305F-4069-AC59-476C0CD26E7A,0.4219,2.9709,1.2533,13.3691,2019-10-22T14:41:37.490,2.210847e+02,4.7294
222.3798,0.5938,43.9241,93.9114,110.3291,0.8457,16.8268,0.5540,23.0172,12.7506,23.6470,514744F6-4AFC-4C82-AEC9-75D275FF6AF8,0.4677,2.5118,1.1748,25.3411,2019-10-22T14:41:37.490,2.494633e+03,14.1882
13.4649,0.3652,53.7411,105.7232,125.3571,0.3298,4.1405,0.1089,17.8400,1.9436,13.6318,BFE4C17F-4E4F-48DA-93E4-A603430F712D,0.5083,2.3326,1.1857,4.9220,2019-10-22T14:41:37.490,3.716776e+01,3.6166
14.6315,0.7209,63.4576,136.2458,162.8983,0.8987,4.3162,0.4815,8.7103,4.1940,6.3986,DAB61149-952C-4B9A-9052-F2B0B8F84F0F,0.4658,2.5670,1.1956,3.9007,2019-10-22T14:41:37.490,4.210151e+01,4.1730
