Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
18.6390,0.4548,68.5652,121.7971,135.5580,0.5973,4.8715,0.1791,15.4435,2.7664,9.1806,57B5C902-2A85-4F32-A733-3AAFC9A416AD,0.5629,1.9771,1.1130,8.3298,2019-10-21T10:21:37.952,6.053353e+01,4.1730
11.1895,0.5303,50.1500,97.9300,120.5900,0.7243,3.7745,0.4648,8.1610,3.7934,6.9550,449AD85B-4BA0-4AA5-B265-2E099C84D2D7,0.5121,2.4046,1.2314,20.7653,2019-10-21T10:21:38.052,2.815642e+01,3.0602
23.2231,0.7657,60.0250,122.8937,141.8438,0.4002,5.4377,0.0600,28.7386,1.7236,11.4062,1C1152FD-0DB2-4FAC-A3B5-0C1B7FCB2EC4,0.4884,2.3631,1.1542,6.8110,2019-10-21T10:21:38.552,8.418656e+01,8.6242
23.6476,0.6010,63.7963,119.2407,139.2778,0.8447,5.4872,0.5068,10.9138,5.5314,9.7370,9AAE3D0E-3D44-42E5-B939-7B537AFF0E51,0.5350,2.1832,1.1680,10.6939,2019-10-21T10:21:38.552,8.650569e+01,4.7294
31.6975,0.5521,47.7538,108.5729,131.2362,0.7863,6.3528,0.3522,13.2258,4.6581,9.7370,16EDBE2A-4712-4208-A035-06938731EBD0,0.4398,2.7482,1.2087,5.3659,2019-10-21T10:21:38.552,1.342460e+02,5.2858
8.2976,0.4183,59.9405,97.5476,110.1190,0.4567,3.2504,0.3144,9.0952,2.8592,6.9550,3941616D-5012-4EDE-A418-1F434396740E,0.6145,1.8371,1.1289,17.7431,2019-10-21T10:21:38.552,1.798011e+01,2.5038
60.7817,0.9162,67.2469,135.4043,153.9506,0.5718,8.7971,0.0850,34.3543,2.9197,14.7446,B429B757-792A-465F-8606-CB4A02ACC6FB,0.4966,2.2893,1.1370,6.4645,2019-10-21T10:21:38.655,3.564705e+02,11.4062
7.0940,0.4850,73.5195,131.2987,147.1688,0.4563,3.0054,0.1461,12.7750,1.8660,8.0678,E4CF84F4-A5A2-46CE-9E9B-D6AEEE4C90E8,0.5599,2.0018,1.1209,3.7431,2019-10-21T10:21:38.752,1.421347e+01,3.0602
139.0244,0.7813,24.9227,60.9716,77.2019,0.8980,13.3046,0.4275,21.7296,9.2890,18.0830,9B463BC1-904C-4ED4-B9C0-1857B2B19481,0.4088,3.0977,1.2662,22.8267,2019-10-21T10:21:38.752,1.233105e+03,13.6318
24.7142,0.8883,70.4790,132.2395,150.8802,0.4820,5.6096,0.0805,25.3421,2.0401,9.7370,C4005BAA-3E72-448F-B207-7D57AEDA6FA7,0.5330,2.1408,1.1410,5.9962,2019-10-21T10:21:38.752,9.242375e+01,7.5114
