Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
31.9197,0.5935,60.7100,108.6450,127.9550,0.8068,6.3751,0.4607,11.5934,5.3406,10.8498,379DCF16-0778-4CD1-BCFE-232FA243895B,0.5588,2.1076,1.1777,16.0782,2019-10-22T10:31:05.484,1.356598e+02,5.2858
4.7211,0.5408,57.2951,109.3770,126.7869,0.2938,2.4518,0.1013,13.6510,1.3834,7.5114,C3974D40-384A-4454-A67B-051AD180CEC9,0.5238,2.2129,1.1592,3.5235,2019-10-22T10:31:05.484,7.716670e+00,3.6166
315.0464,0.5464,45.0598,104.8665,128.2050,0.5794,20.0282,0.1077,60.8583,6.5519,32.5494,545D3FD9-AB4D-4F24-9115-F2C2D4D8E6CE,0.4297,2.8452,1.2226,15.5073,2019-10-22T10:31:05.584,4.206546e+03,20.8650
12.3170,0.5558,61.5094,111.0377,128.6226,0.5903,3.9601,0.1594,14.3491,2.2869,7.5114,6001F1BC-5497-46B1-96EA-457022B4E184,0.5540,2.0911,1.1584,8.6554,2019-10-22T10:31:05.584,3.251767e+01,3.6166
9.3608,0.5445,74.5333,111.9111,124.1000,0.5666,3.4523,0.2603,10.3463,2.6930,6.3986,408E21BC-3CD4-4B65-8ED2-D59BAD3B5505,0.6660,1.6650,1.1089,19.8373,2019-10-22T10:31:05.584,2.154427e+01,3.6166
17.0156,0.5920,64.2000,124.7538,147.0769,0.8532,4.6546,0.6915,7.6287,5.2755,7.5114,C50ED790-CE03-46B9-9BB0-539CDD21F49A,0.5146,2.2909,1.1789,11.7558,2019-10-22T10:31:05.672,5.280025e+01,3.6166
6.9256,0.5897,59.6447,114.3289,132.7763,0.5384,2.9695,0.2492,10.2760,2.5608,6.3986,017A6321-23EC-483A-BF65-491DE75E3751,0.5217,2.2261,1.1614,5.1318,2019-10-22T10:31:05.771,1.371030e+01,3.6166
20.7022,0.0941,69.1216,130.6486,155.0878,0.1246,5.1341,0.0734,24.9926,1.8333,21.9778,0B7DBD76-C889-4ED1-9AE3-A0FD36F453AB,0.5291,2.2437,1.1871,3.4486,2019-10-22T10:31:05.771,7.085776e+01,1.9474
43.9721,0.6278,71.1028,134.1897,151.2806,0.5371,7.4825,0.0754,32.2244,2.4306,16.4138,B89DF763-8924-4BCF-AFFB-38412BFA8CFA,0.5299,2.1276,1.1274,8.1380,2019-10-22T10:31:05.971,2.193462e+02,8.6242
91.8548,0.8020,63.7489,110.1756,120.6533,0.9662,10.8145,1.0000,12.3141,12.3141,14.1882,92392474-1BA8-43BA-A283-A6C3936F7B2F,0.5786,1.8926,1.0951,14.4233,2019-10-22T10:31:06.074,6.622419e+02,10.8498
9.1817,0.7088,50.7528,105.1348,123.7303,0.5976,3.4191,0.1561,13.2866,2.0737,6.9550,B98BD9DB-E77A-45C8-B49D-31E84FC76581,0.4827,2.4379,1.1769,7.3232,2019-10-22T10:31:06.172,2.092900e+01,3.6166
209.7380,0.5256,59.9945,119.1421,139.8457,0.7115,16.3416,0.2416,33.9766,8.2095,23.6470,BC51A806-3763-4104-A378-B8B254695EAC,0.5036,2.3310,1.1738,11.8711,2019-10-22T10:31:06.271,2.284965e+03,14.7446
10.2668,0.5759,60.2737,131.1474,167.6947,0.3780,3.6155,0.0755,19.7318,1.4905,11.4062,4C958FDB-0F7D-474F-A818-BC3A706DD582,0.4596,2.7822,1.2787,6.9987,2019-10-22T10:31:06.271,2.474657e+01,4.7294
56.9398,0.2591,60.7857,132.3539,160.1753,0.4539,8.5146,0.1398,26.1203,3.6504,22.5342,ECC27284-A4D8-41B6-B72B-1043B859241D,0.4593,2.6351,1.2102,5.8300,2019-10-22T10:31:06.271,3.232120e+02,4.1730
