Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
20.7022,0.4399,30.8784,66.4459,82.6757,0.7070,5.1341,0.5975,8.7568,5.2323,9.1806,C80A0172-F7D6-4746-9B83-5FEF19661BF2,0.4647,2.6775,1.2443,14.7129,2019-10-22T10:03:33.425,7.085776e+01,3.0602
29.9282,0.7873,63.1623,124.2618,144.2618,0.9641,6.1730,1.0000,7.3542,7.3542,8.0678,D95C640E-5939-4A6E-B008-EDC0C12C025B,0.5083,2.2840,1.1610,12.2884,2019-10-22T10:03:33.425,1.231642e+02,5.2858
8.1231,0.5385,57.9759,101.6145,133.7229,0.4250,3.2160,0.1701,12.2921,2.0904,6.9550,2576C1E8-BE3F-4DCF-A41F-C03ACBCBDCCD,0.5705,2.3065,1.3160,14.6529,2019-10-22T10:03:33.522,1.741601e+01,3.6166
15.6170,0.5754,60.1870,122.7724,150.1301,0.6527,4.4592,0.2414,12.5588,3.0320,7.5114,E11C45F3-8AB9-4076-B208-73A403620246,0.4902,2.4944,1.2228,12.0343,2019-10-22T10:03:33.522,4.642605e+01,4.1730
14.4358,0.2902,55.6410,91.1624,105.7265,0.4927,4.2872,0.3285,10.4999,3.4497,9.1806,FB504F0A-830F-42A0-BC80-17F56BF76022,0.6104,1.9002,1.1598,20.1730,2019-10-22T10:03:33.522,4.125973e+01,1.9474
28.6110,0.6460,50.2486,98.9243,117.6703,0.8947,6.0356,1.0000,7.1238,7.1238,8.6242,3BCF7748-CF47-4F24-8DBB-2F49787CCA9E,0.5080,2.3418,1.1895,10.5595,2019-10-22T10:03:33.616,1.151232e+02,4.7294
9.0034,0.3038,62.5568,108.0227,134.1818,0.3310,3.3858,0.1995,11.6857,2.3313,9.7370,688427BC-BB20-4DD1-890C-8E5DD8119CE6,0.5791,2.1450,1.2422,23.1486,2019-10-22T10:03:33.616,2.032219e+01,2.5038
28.3923,0.6045,56.5326,131.0380,159.5435,0.8756,6.0125,1.0000,7.3880,7.3880,9.1806,C3D50D53-13E1-4094-9A5C-F9655BE2185F,0.4314,2.8221,1.2175,8.1920,2019-10-22T10:03:33.616,1.138058e+02,4.1730
69.7670,0.7074,42.4432,99.8227,120.8283,0.9328,9.4250,1.0000,10.0070,10.0070,11.9626,534130BA-907B-48C8-915B-85BAB2292E94,0.4252,2.8468,1.2104,17.9373,2019-10-22T10:03:33.715,4.383682e+02,7.5114
38.4515,0.6832,41.7249,87.7380,103.6638,0.9253,6.9970,1.0000,7.9921,7.9921,9.7370,6E4017DD-1362-4D80-9F93-55BB97FDA485,0.4756,2.4845,1.1815,10.9770,2019-10-22T10:03:33.715,1.793631e+02,5.8422
