Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
27.7377,0.7360,52.4972,115.1547,139.1105,0.9480,5.9428,1.0000,7.1575,7.1575,7.5114,3ABB48D6-3FAF-4188-AFC3-39FD46F16ABF,0.4559,2.6499,1.2080,8.4747,2019-10-22T13:51:17.482,1.098930e+02,5.2858
32.3647,0.8292,40.5693,94.7376,117.6535,0.9674,6.4193,1.0000,7.2867,7.2867,8.0678,14632327-D635-4640-B7DA-08658B72278B,0.4282,2.9001,1.2419,14.6439,2019-10-22T13:51:17.482,1.385066e+02,5.2858
18.4347,0.8051,51.4891,124.2628,153.0511,0.9629,4.8448,1.0000,6.2077,6.2077,6.3986,5F040F9D-8941-42AC-97D2-0D88C47F2BBE,0.4144,2.9725,1.2317,7.6965,2019-10-22T13:51:17.581,5.954104e+01,4.1730
24.2867,0.8543,55.3879,93.2121,100.6788,0.9846,5.5608,1.0000,6.4859,6.4859,6.3986,D31FAF20-44E8-4B92-BFD2-07205D278AB5,0.5942,1.8177,1.0801,19.8849,2019-10-22T13:51:17.581,9.003600e+01,5.2858
101.1984,0.6763,59.4148,96.8973,107.8563,0.8930,11.3512,1.0000,13.7249,13.7249,16.9702,B5D53710-62B9-4194-BC36-986B4DC2FA46,0.6132,1.8153,1.1131,21.0294,2019-10-22T13:51:17.581,7.658160e+02,11.4062
23.4352,0.6927,42.1056,84.5155,105.5963,0.9017,5.4625,1.0000,6.9270,6.9270,8.0678,A84AF924-E25B-4A34-BC19-DBED44DCFB40,0.4982,2.5079,1.2494,21.9716,2019-10-22T13:51:17.581,8.534267e+01,4.7294
72.9543,0.5489,59.0508,100.5722,109.3797,0.7246,9.6379,0.2954,19.7970,5.8485,15.8574,75DF11EF-2904-4E46-AEA1-C96CEDC239BA,0.5871,1.8523,1.0876,27.0957,2019-10-22T13:51:17.581,4.687488e+02,8.0678
10.6339,0.6399,44.8969,82.2680,111.2062,0.3651,3.6796,0.1639,13.5351,2.2186,9.7370,B5EE1BFB-5408-4CBD-8596-B1BFB0F817CD,0.5457,2.4769,1.3518,20.1681,2019-10-22T13:51:17.581,2.608579e+01,5.2858
49.5814,0.8548,56.6065,106.7473,130.8845,0.9788,7.9454,1.0000,8.7790,8.7790,9.7370,F0FA02D5-4AA3-4CE0-AF94-73144839C291,0.5303,2.3122,1.2261,11.1139,2019-10-22T13:51:17.780,2.626286e+02,7.5114
521.2740,0.5888,22.0932,74.5609,96.6566,0.7773,25.7625,0.1397,67.2419,9.3967,35.3314,4735EA21-7E9D-4E10-85F5-78C30E78F4F3,0.2963,4.3749,1.2963,19.9140,2019-10-22T13:51:17.780,8.952884e+03,23.6470
