Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
9.9023,0.2684,89.6344,125.4516,137.5914,0.2537,3.5508,0.2035,11.8945,2.4205,10.2934,97230E44-860A-4162-B820-BB4C695810BA,0.7145,1.5350,1.0968,5.0436,2019-10-21T09:59:55.632,2.344056e+01,2.5038
55.9838,0.2542,74.2270,116.8454,137.7204,0.2853,8.4428,0.1414,25.7966,3.6483,21.4214,10C0A1C6-9781-41A2-BCF5-437346625BD8,0.6353,1.8554,1.1787,14.4297,2019-10-21T09:59:55.830,3.151063e+02,5.8422
27.7377,0.6264,82.6188,113.6519,124.7680,0.8936,5.9428,1.0000,7.1575,7.1575,8.6242,22073E1D-74BD-40CB-A894-922A7E48168E,0.7269,1.5102,1.0978,20.5037,2019-10-21T09:59:55.929,1.098930e+02,4.1730
26.4355,0.5710,88.9486,142.3657,162.8000,0.7314,5.8016,0.2431,17.5202,4.2584,11.9626,1972BD2A-BFFC-4F34-8E44-20D0E4193288,0.6248,1.8303,1.1435,6.0690,2019-10-21T09:59:56.029,1.022456e+02,6.3986
22.3776,0.7689,100.2436,135.5064,143.1346,0.9515,5.3378,1.0000,6.6826,6.6826,7.5114,8931507A-81F0-4483-B156-5E0DF9622DAF,0.7398,1.4279,1.0563,9.6036,2019-10-21T09:59:56.029,7.963145e+01,4.7294
29.9282,0.9205,86.7801,127.2932,141.9424,0.7739,6.1730,0.1397,20.5738,2.8740,10.2934,F5AC1C7B-D56F-4AA4-855C-820C04281F07,0.6817,1.6357,1.1151,14.7375,2019-10-21T09:59:56.431,1.231642e+02,6.9550
21.1190,0.5964,83.1933,121.3733,133.0000,0.8720,5.1855,1.0000,6.6011,6.6011,7.5114,0A77E39D-FFB0-456F-BBB8-2FE4729BB098,0.6854,1.5987,1.0958,13.6715,2019-10-21T09:59:56.528,7.300877e+01,3.6166
17.0156,0.7457,88.5692,126.4308,136.6000,0.9203,4.6546,1.0000,6.0924,6.0924,6.3986,0B3C9BED-B5FD-4F5A-85E5-0ECA1A393083,0.7005,1.5423,1.0804,13.4938,2019-10-21T09:59:56.731,5.280025e+01,3.6166
30.8110,0.6179,53.8359,91.0308,111.5026,0.8790,6.2634,1.0000,7.6802,7.6802,9.1806,04CEC14B-4392-4CB9-8EC4-091C665A2892,0.5914,2.0712,1.2249,19.9147,2019-10-21T09:59:56.731,1.286539e+02,4.7294
15.8155,0.6853,96.6290,134.3952,150.8145,0.4943,4.4874,0.0783,22.1476,1.7333,9.1806,03C5C661-9D92-47A5-808C-4D3DC1CD7BC9,0.7190,1.5608,1.1222,6.5486,2019-10-21T09:59:56.929,4.731393e+01,5.2858
