Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
19.6660,0.8459,55.8112,118.4965,140.4965,0.9443,5.0040,1.0000,6.8456,6.8456,6.9550,83E986A1-99B0-40B0-8E6A-B2FEED6B3BA9,0.4710,2.5174,1.1857,10.4520,2019-10-22T10:56:52.799,6.560536e+01,4.7294
22.1670,0.9650,62.0774,118.1355,138.7290,1.0000,5.3126,1.0000,6.0924,6.0924,5.8422,F8830623-E9EF-4DCE-94E2-59FDC4AD477F,0.5255,2.2348,1.1743,15.0895,2019-10-22T10:56:52.799,7.851010e+01,5.2858
22.1670,0.8958,59.1935,118.0387,142.6452,0.9575,5.3126,0.5113,9.6878,4.9531,6.9550,5C233337-75EF-421F-B31D-5F241E13161C,0.5015,2.4098,1.2085,7.6351,2019-10-22T10:56:52.799,7.851010e+01,5.2858
16.8145,0.7828,52.3953,114.9380,137.9612,0.9339,4.6270,1.0000,6.4859,6.4859,6.9550,D2FF6E2D-FE8B-4723-B845-C0E8AD6D0C8B,0.4559,2.6331,1.2003,11.0877,2019-10-22T10:56:53.369,5.186704e+01,4.7294
18.2308,0.9231,62.0809,114.9853,132.9485,0.9946,4.8179,1.0000,5.5838,5.5838,5.8422,81311123-2E6F-405D-9324-BA70FC4CDEC3,0.5399,2.1415,1.1562,14.2012,2019-10-22T10:56:53.369,5.855589e+01,4.1730
39.8226,0.3698,62.9362,125.0128,149.1191,0.4908,7.1207,0.1760,20.3304,3.5785,14.1882,AB51DD91-8AA2-4AFD-8FB4-98CB1C8DE6A4,0.5034,2.3694,1.1928,5.5087,2019-10-22T10:56:53.369,1.890420e+02,5.8422
22.7997,0.9659,52.9304,106.8481,128.6646,0.9988,5.3879,1.0000,6.2554,6.2554,6.3986,2153DDEC-8F3D-4343-B73D-69ACA323E683,0.4954,2.4308,1.2042,14.2750,2019-10-22T10:56:53.470,8.189509e+01,5.2858
29.0491,0.6502,61.9733,118.5722,141.6898,0.8807,6.0816,0.6186,9.6741,5.9842,8.6242,6A8E03B8-AE32-4C1D-B857-C5310C127AB9,0.5227,2.2863,1.1950,8.7468,2019-10-22T10:56:53.470,1.177776e+02,4.7294
161.8291,0.3420,60.9140,102.0902,114.2067,0.5899,14.3543,0.3290,26.0455,8.5699,25.3162,7373DA5A-8D94-4FBA-B07B-90E452E1B408,0.5967,1.8749,1.1187,18.5815,2019-10-22T10:56:53.470,1.548634e+03,8.6242
3.8698,0.3951,77.0600,131.8000,149.0400,0.2326,2.2197,0.1883,9.0669,1.7072,7.5114,D2F4DBE4-2BD1-44F8-ABB1-9D0A3A5AF4BB,0.5847,1.9341,1.1308,3.3106,2019-10-22T10:56:53.470,5.726512e+00,2.5038
76.1560,0.6367,53.7623,103.6512,130.7054,0.4776,9.8471,0.0608,44.3999,2.6984,19.7522,FD139171-3966-4958-B018-65A79E6E6C0D,0.5187,2.4312,1.2610,17.5084,2019-10-22T10:56:53.567,4.999426e+02,12.5190
20.0794,0.5898,58.9034,109.2345,132.7103,0.6229,5.0563,0.1523,17.1690,2.6146,9.1806,26210934-C72F-4DD7-BC3A-291984D8E97E,0.5392,2.2530,1.2149,19.6019,2019-10-22T10:56:53.667,6.768478e+01,4.7294
28.6110,0.6441,58.3081,134.1892,161.9622,0.8975,6.0356,1.0000,7.2390,7.2390,8.6242,046AC61E-2D32-48E3-9EB4-9910B4B3C47A,0.4345,2.7777,1.2070,7.3619,2019-10-22T10:56:53.667,1.151232e+02,4.7294
32.5875,0.7201,31.1626,92.4729,121.3990,0.9394,6.4414,1.0000,7.8629,7.8629,8.6242,F9D3AA8F-20EC-44D9-AD01-30D50391D365,0.3370,3.8957,1.3128,7.8080,2019-10-22T10:56:53.867,1.399394e+02,5.2858
110.1096,0.6891,40.0383,107.5249,132.1398,0.7794,11.8404,0.2177,27.2454,5.9313,18.0830,9050EC60-EE6C-48A5-8AEB-6A5F345A3F88,0.3724,3.3003,1.2289,22.1565,2019-10-22T10:56:53.867,8.691640e+02,10.8498
27.5200,0.8890,59.9722,122.2944,148.0556,0.4009,5.9194,0.0765,26.9865,2.0649,11.9626,091963B8-2E50-48C0-9822-B70DE969E07F,0.4904,2.4687,1.2106,6.2595,2019-10-22T10:56:53.867,1.086019e+02,9.1806
38.2236,0.6669,55.6404,118.1886,142.6886,0.8927,6.9762,0.4899,12.0036,5.8803,10.2934,3BAEB151-0EB7-4B66-B15B-F949A7058841,0.4708,2.5645,1.2073,8.9910,2019-10-22T10:56:54.070,1.777709e+02,5.8422
19.8726,0.6373,48.1875,100.5764,124.5417,0.8226,5.0302,0.3888,10.7083,4.1631,8.0678,B1C3CC96-41BD-4639-9E19-67D0C2D2F72A,0.4791,2.5845,1.2383,11.1863,2019-10-22T10:56:54.070,6.664147e+01,4.1730
26.6519,0.4324,61.8864,120.0511,145.0227,0.5817,5.8253,0.2733,14.1208,3.8586,11.9626,CF78728E-691F-41B4-BE78-C41D1A09C98F,0.5155,2.3434,1.2080,16.5858,2019-10-22T10:56:54.070,1.035036e+02,4.7294
53.3645,0.6739,56.4403,118.0922,140.2765,0.9119,8.2429,1.0000,9.3354,9.3354,11.4062,6072A563-A734-41B5-8D65-7D1713503CDA,0.4779,2.4854,1.1879,12.7265,2019-10-22T10:56:54.167,2.932528e+02,6.3986
31.4755,0.5952,68.3030,120.0808,138.0051,0.8469,6.3306,0.6075,10.0448,6.1023,9.7370,86B4B3F0-B2F8-416F-8D36-A446AC97D986,0.5688,2.0205,1.1493,8.7544,2019-10-22T10:56:54.265,1.328384e+02,4.7294
18.8436,0.6536,46.1655,105.3237,134.0432,0.5688,4.8982,0.0832,22.7355,1.8927,9.7370,E085089F-22DC-4452-A959-64C6012780CC,0.4383,2.9035,1.2727,13.6368,2019-10-22T10:56:54.368,6.153333e+01,5.8422
297.1887,0.8595,24.6026,81.7122,107.0785,0.9538,19.4523,0.5479,27.3407,14.9804,24.7598,910EC9FB-10E5-47E2-8155-541EEF08C30E,0.3011,4.3523,1.3104,15.1446,2019-10-22T10:56:54.467,3.854004e+03,19.1958
450.9599,0.7542,28.1458,82.3118,104.9865,0.8518,23.9621,0.1069,74.6307,7.9769,36.4442,07A85A69-EF8C-4AB2-B092-E0186E581136,0.3419,3.7301,1.2755,15.9426,2019-10-22T10:56:54.467,7.203950e+03,24.2034
129.1523,0.4441,20.7265,74.9983,98.6023,0.7113,12.8235,0.3683,22.3812,8.2440,21.4214,8318FFB8-AEFE-48C2-8CCE-8DC870EE5015,0.2764,4.7573,1.3147,15.7208,2019-10-22T10:56:54.567,1.104122e+03,9.1806
71.2362,0.5810,40.3951,94.7766,111.1689,0.6640,9.5237,0.1410,28.3875,4.0023,16.9702,84FF9CCF-1C43-490B-B247-DC2F06AF939C,0.4262,2.7520,1.1730,14.9789,2019-10-22T10:56:54.567,4.522881e+02,9.7370
83.0977,0.2222,43.1711,104.9855,130.0819,0.2791,10.2861,0.1035,35.2288,3.6469,25.8726,07BCCD0F-B916-49AF-AD24-AD6938E6C839,0.4112,3.0132,1.2390,11.0604,2019-10-22T10:56:54.770,5.698328e+02,8.0678
155.5120,0.3513,62.8522,121.9641,143.4319,0.4321,14.0714,0.1555,37.2474,5.7931,28.0982,CC9F048F-9DF2-4960-9C48-BE34E458D009,0.5153,2.2820,1.1760,12.1829,2019-10-22T10:56:55.179,1.458847e+03,12.5190
