Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Circularity (Hu),Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Geodesic Thickness,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width
46.7665,0.6148,61.2981,123.6981,149.9245,0.4850,7.7165,0.0677,34.8226,2.3559,14.7446,29DD855A-FFE8-439D-B3C5-E7C664830C64,0.4955,2.4458,1.2120,9.6489,2019-10-22T14:08:21.737,2.405833e+02,6.9550
311.1952,0.7580,48.1397,102.4262,127.0016,0.6066,19.9054,0.0455,94.7721,4.3086,34.7750,58B42EF2-BADF-467A-ADBE-D270DA13B242,0.4700,2.6382,1.2399,22.3425,2019-10-22T14:08:21.948,4.129649e+03,26.4290
50.2882,0.4544,60.9643,115.9714,135.9786,0.5555,8.0018,0.1121,27.8057,3.1174,14.7446,510BD584-157D-4CF5-83B1-E202CF2BE30C,0.5257,2.2305,1.1725,13.0501,2019-10-22T14:08:22.237,2.682644e+02,6.3986
67.0819,0.6376,43.9486,95.8543,110.5771,0.8242,9.2418,0.2685,20.0889,5.3937,14.1882,2F779B1F-F69E-4A0B-9159-95993A9CAD2A,0.4585,2.5161,1.1536,22.7130,2019-10-22T14:08:22.237,4.133064e+02,7.5114
9.0034,0.3340,66.5000,100.6818,118.9091,0.5163,3.3858,0.2917,9.6637,2.8191,8.0678,4E87D401-6A28-440C-929C-EAF9A0D34139,0.6605,1.7881,1.1810,20.2759,2019-10-22T14:08:22.237,2.032219e+01,1.9474
56.9398,0.4907,66.6526,123.6331,149.2110,0.6770,8.5146,0.2949,17.9825,5.3024,13.6318,41162892-7017-4DA6-9855-AA73096DC59F,0.5391,2.2386,1.2069,5.1971,2019-10-22T14:08:22.342,3.232120e+02,7.5114
83.8450,0.5204,44.6962,97.7775,114.5622,0.6126,10.3322,0.1204,33.5594,4.0405,19.7522,29F77A69-7546-4DB2-8476-83E203814BB0,0.4571,2.5631,1.1717,15.5407,2019-10-22T14:08:22.342,5.775363e+02,9.1806
16.4136,0.3681,64.0079,112.2835,139.4331,0.4044,4.5715,0.1578,15.7868,2.4905,11.4062,B038ED34-96CF-4DC6-82AC-A1C4C470FEDF,0.5701,2.1784,1.2418,19.8982,2019-10-22T14:08:22.538,5.002315e+01,4.1730
9.1817,0.4709,55.2584,119.9438,158.7528,0.2804,3.4191,0.0928,17.2351,1.5986,11.4062,1F737CA1-E540-473A-984D-3E3F72F14982,0.4607,2.8729,1.3236,6.5187,2019-10-22T14:08:22.637,2.092900e+01,4.1730
14.2406,0.7479,63.7672,124.5431,146.1724,0.9504,4.2581,1.0000,5.9772,5.9772,6.3986,3634675F-716B-4797-94A8-1DE4B3E1A8B4,0.5120,2.2923,1.1737,10.1208,2019-10-22T14:08:22.637,4.042572e+01,3.6166
17.2171,0.8977,27.9771,58.2366,74.7405,0.9923,4.6820,1.0000,5.6990,5.6990,5.8422,72B8619B-EAD1-4A1C-846F-3BE17327052F,0.4804,2.6715,1.2834,16.5670,2019-10-22T14:08:22.637,5.374094e+01,4.7294
19.0487,0.7863,39.6857,87.6000,113.6214,0.9676,4.9248,1.0000,6.0110,6.0110,6.3986,1744BFAE-D7A2-4B92-9674-65DF5151B8B7,0.4530,2.8630,1.2970,13.8627,2019-10-22T14:08:22.637,6.254044e+01,4.1730
56.4615,0.3905,41.9967,87.8203,109.6405,0.5554,8.4787,0.1549,24.7322,3.8303,18.6394,94320733-CC18-4FF7-9C17-7C51548B4C92,0.4782,2.6107,1.2485,23.9210,2019-10-22T14:08:22.737,3.191486e+02,5.8422
29.7081,0.4597,47.5263,95.1263,109.0842,0.6511,6.1502,0.2703,14.7506,3.9877,10.8498,A3E27D03-6123-4D22-9FE6-8F8014083D75,0.4996,2.2952,1.1467,19.3104,2019-10-22T14:08:22.839,1.218078e+02,4.7294
20.4942,0.4528,73.0408,131.8503,148.6803,0.6369,5.1082,0.3626,11.2025,4.0623,8.6242,3A783B54-826E-442F-A20C-8DB82A47DA7F,0.5540,2.0356,1.1276,6.6377,2019-10-22T14:08:22.839,6.979295e+01,3.6166
19.0487,0.7999,51.9143,109.4286,134.6071,0.9521,4.9248,1.0000,6.1262,6.1262,6.3986,54DBB61C-5292-4507-B554-83449EDAB27D,0.4744,2.5929,1.2301,11.4296,2019-10-22T14:08:22.839,6.254044e+01,4.1730
55.2680,0.4929,65.1462,132.2525,155.9269,0.7762,8.3886,0.3872,15.5137,6.0066,14.1882,7107DDA4-0BEE-4C35-822B-EDA292676991,0.4926,2.3935,1.1790,8.8411,2019-10-22T14:08:22.940,3.090824e+02,5.8422
14.8277,0.4436,41.5042,80.8319,102.9580,0.5405,4.3450,0.2016,13.5172,2.7254,8.6242,4A6A15A0-C88A-462E-AF18-C6FBB84FDA21,0.5135,2.4807,1.2737,19.3452,2019-10-22T14:08:23.139,4.295102e+01,3.0602
13.4649,0.6967,66.5625,128.6518,147.5179,0.6279,4.1405,0.1595,14.7456,2.3514,6.9550,1371CC7F-691A-48F0-9C08-E16F5B44B671,0.5174,2.2162,1.1466,8.4267,2019-10-22T14:08:23.139,3.716776e+01,4.7294
8.8258,0.4516,74.4253,117.3563,132.3793,0.4673,3.3522,0.1751,12.4017,2.1718,7.5114,40A9B65E-467A-4E9E-981D-B2B8713064D5,0.6342,1.7787,1.1280,15.2750,2019-10-22T14:08:23.139,1.972388e+01,3.0602
54.3153,0.7860,63.1246,120.6465,141.6162,0.8635,8.3160,0.3238,18.2131,5.8982,12.5190,90110626-79F1-4CF4-8E49-C5BCBBEC7D40,0.5232,2.2434,1.1738,12.9411,2019-10-22T14:08:23.236,3.011249e+02,9.7370
118.8271,0.7864,57.0144,105.1709,121.1511,0.7995,12.3002,0.2036,29.3916,5.9827,19.1958,CCD56548-A590-4122-9A49-E11FEAB814A2,0.5421,2.1249,1.1519,17.2377,2019-10-22T14:08:23.337,9.743993e+02,13.0754
20.2867,0.9440,72.8836,129.7397,143.7260,0.9871,5.0823,1.0000,6.7303,6.7303,6.3986,21F1FB6B-CBEC-40C0-992E-43A2443F8615,0.5618,1.9720,1.1078,6.0910,2019-10-22T14:08:23.337,6.873528e+01,5.8422
4.1793,0.1468,61.4259,134.4630,173.8704,0.2727,2.3068,0.1357,11.1002,1.5060,9.7370,873FD1EC-FF52-40EE-88FA-33149F874F80,0.4568,2.8306,1.2931,6.8933,2019-10-22T14:08:23.440,6.427259e+00,1.1128
27.9557,0.7046,32.8352,70.0165,82.0989,0.9268,5.9661,1.0000,6.9945,6.9945,8.0678,43C11F86-DB48-4ECE-9210-CD0DC35ACF2B,0.4690,2.5003,1.1726,17.7135,2019-10-22T14:08:23.537,1.111907e+02,4.7294
17.2171,0.5926,71.8779,133.4427,153.3664,0.4808,4.6820,0.0722,23.7042,1.7109,8.6242,29C9F4F5-88E9-44A9-8DC7-AB89640EFCD5,0.5386,2.1337,1.1493,10.2088,2019-10-22T14:08:23.637,5.374094e+01,4.7294
640.3224,0.4093,27.5586,80.4822,105.3870,0.6276,28.5532,0.1109,83.9881,9.3145,54.8054,9686E795-08FC-42E9-9FA3-49CB73501EC2,0.3424,3.8241,1.3094,22.6934,2019-10-22T14:08:23.737,1.218883e+04,24.2034
46.5328,0.5602,34.9583,89.3182,112.2083,0.6446,7.6972,0.1746,21.6379,3.7771,14.7446,46D294AD-AFC6-440A-9B7E-CBC648CA54F7,0.3914,3.2098,1.2563,11.1407,2019-10-22T14:08:23.837,2.387825e+02,9.1806
34.8272,0.4421,69.0704,132.8685,152.9343,0.3304,6.6591,0.0667,31.4452,2.0970,15.3010,B99B85A2-549E-4278-B626-E3BC306AEDC8,0.5198,2.2142,1.1510,6.6615,2019-10-22T14:08:23.837,1.546113e+02,6.9550
13.0801,0.4368,59.6636,114.6364,141.6273,0.6994,4.0809,0.3796,9.4720,3.5952,7.5114,D109A4F6-F4C9-453F-A3E0-9CECBCE960B0,0.5205,2.3738,1.2354,8.6168,2019-10-22T14:08:23.940,3.558596e+01,2.5038
105.5184,0.7816,64.4921,122.2738,139.9306,0.8068,11.5910,0.1550,32.8125,5.0854,16.9702,D90282D2-8258-43B3-8ABB-EED2CC457276,0.5274,2.1697,1.1444,9.7003,2019-10-22T14:08:24.038,8.153724e+02,13.0754
15.0243,0.5962,39.0083,97.8250,124.3417,0.8604,4.3737,1.0000,6.0447,6.0447,6.9550,8B115C48-CE00-48F7-A4FB-7874F15C36AF,0.3988,3.1876,1.2711,10.9523,2019-10-22T14:08:24.038,4.380826e+01,3.0602
35.2775,0.4584,58.8186,125.6744,149.5116,0.7424,6.7020,0.5549,10.9522,6.0773,10.8498,45791192-968F-4B79-9923-45C89086A40F,0.4680,2.5419,1.1897,6.5153,2019-10-22T14:08:24.137,1.576200e+02,4.1730
