Wieght
1.0928
1.3329
1.0828
1.0866
1.3371
1.0898
1.0932
1.0996
1.1062
1.3502
1.0723
1.084
1.085
1.3397
1.0949
1.3517
1.11
1.0844
1.0791
1.3434
1.1076
1.3437
1.3359
1.3413
1.0971
1.0772
1.357
1.092
1.3407
1.3327
